Def 	$Force$
0		0
0.0091	0.00011767
0.0338	0.00054962
0.0755	0.0012958
0.1169	0.0022971
0.1555	0.0034306
0.1929	0.0047572
0.2300	0.0062137
0.2654	0.0078126
0.2979	0.0095032
0.3356	0.01131
0.3689	0.013105
0.4104	0.01521
0.4411	0.017257
0.4843	0.019508
0.5147	0.021688
0.5588	0.024106
0.5896	0.026372
0.6336	0.029022
0.6648	0.031361
0.7086	0.034157
0.7395	0.036722
0.7782	0.039651
0.8103	0.042225
0.8555	0.045267
0.8866	0.04802
0.9211	0.051123
0.9616	0.053956
1.0000	0.05726
1.0324	0.060063
1.0770	0.063539
1.1089	0.066588
1.1433	0.069918
1.1836	0.073105
1.2204	0.076766
1.2559	0.079862
1.2910	0.083238
1.3323	0.086694
1.3670	0.090331
1.4022	0.093739
1.4398	0.097643
1.4795	0.10098
1.5140	0.10462
1.5492	0.10813
1.5876	0.11199
1.6258	0.11577
1.6637	0.11958
1.6976	0.12333
1.7371	0.12738
1.7772	0.13116
1.8112	0.13518
1.8454	0.13881
1.8849	0.14299
1.9202	0.14676
1.9607	0.15093
1.9954	0.15487
2.0331	0.15878
2.0686	0.16294
2.1045	0.16694
2.1433	0.17108
2.1833	0.17529
2.2173	0.1793
2.2535	0.18372
2.2924	0.18798
2.3270	0.19214
2.3662	0.19653
2.4020	0.20058
2.4422	0.20508
2.4762	0.20901
2.5118	0.21351
2.5522	0.21777
2.5898	0.22199
2.6237	0.22629
2.6604	0.23067
2.6986	0.23501
2.7359	0.2394
2.7739	0.24381
2.8095	0.24813
2.8497	0.25267
2.8856	0.25712
2.9216	0.26171
2.9611	0.26617
2.9965	0.27061
3.0327	0.27505
3.0753	0.27959
3.1108	0.28392
3.1461	0.28847
3.1818	0.29294
3.2191	0.29742
3.2550	0.30194
3.2923	0.30649
3.3296	0.31103
3.3683	0.31553
3.4027	0.31997
3.4404	0.32474
3.4774	0.32926
3.5154	0.33395
3.5582	0.33863
3.5910	0.3431
3.6311	0.34764
3.6683	0.35224
