Def 	$Force$
0.00000	0
0.00000	0.00000
0.00000	0.00000
0.00104	0.00001
0.01434	0.00023
0.04944	0.00082
0.08908	0.00168
0.12813	0.00278
0.16746	0.00406
0.20577	0.00550
0.24460	0.00706
0.28351	0.00875
0.31963	0.01055
0.35733	0.01247
0.39303	0.01448
0.43343	0.01661
0.46547	0.01878
0.50813	0.02116
0.54233	0.02340
0.58586	0.02588
0.61772	0.02841
0.66157	0.03108
0.69339	0.03364
0.73805	0.03644
0.76968	0.03918
0.81422	0.04220
0.84630	0.04490
0.88947	0.04799
0.92132	0.05096
0.96637	0.05415
0.99868	0.05706
1.03930	0.06059
1.07360	0.06374
1.11560	0.06729
1.14870	0.07025
1.18990	0.07364
1.22400	0.07729
1.26570	0.08081
1.29910	0.08408
1.34350	0.08778
1.37600	0.09124
1.41620	0.09531
1.45070	0.09857
1.49330	0.10241
1.52690	0.10603
1.56620	0.11032
1.60170	0.11366
1.64090	0.11753
1.67690	0.12138
1.71810	0.12536
1.75380	0.12925
1.79100	0.13354
1.83270	0.13741
1.86860	0.14162
1.90820	0.14534
1.94330	0.14961
1.98060	0.15355
2.01930	0.1579
2.06030	0.16196
2.09550	0.16608
2.13330	0.17028
2.17270	0.17462
2.21040	0.17872
2.24630	0.18305
2.28810	0.18742
2.32290	0.19178
2.36020	0.19612
2.39750	0.20057
2.43590	0.20486
2.47520	0.20926
2.51160	0.21375
2.55150	0.21822
2.58840	0.22228
2.62670	0.22683
2.66590	0.23142
2.70360	0.23587
2.74000	0.24036
2.77900	0.24482
2.81600	0.24941
2.85530	0.2539
2.89260	0.25844
2.93190	0.26302
2.96840	0.26761
3.00630	0.27222
3.04410	0.27674
3.08190	0.28142
3.12050	0.28598
3.15940	0.2905
3.19960	0.29527
3.23800	0.29979
3.27540	0.30445
3.31190	0.30916
3.35240	0.31393
3.38760	0.31831
3.42390	0.32296
3.46660	0.32808
3.50480	0.33247
3.54710	0.33725
3.58160	0.34176
3.62050	0.34655
3.65800	0.35084
