Def		$Force$
0		0.00000
0.1		0.00379
0.2		0.00793
0.3		0.01241
0.4		0.01723
0.5		0.02240
0.6		0.02791
0.7		0.03377
0.8		0.03997
0.9		0.04651
1		0.05340
1.1		0.06063
1.2		0.06821
1.3		0.07613
1.4		0.08439
1.5		0.09300
1.6		0.10195
1.7		0.11125
1.8		0.12089
1.9		0.13087
2		0.14120
2.1		0.15187
2.2		0.16289
2.3		0.17425
2.4		0.18595
2.5		0.19800
2.6		0.21039
2.7		0.22313
2.8		0.23621
2.9		0.24963
3		0.26340
3.1		0.27751
3.2		0.29197
3.3		0.30677
3.4		0.32191
3.5		0.33740
3.6		0.35323
3.7		0.36941
3.8		0.38593
3.9		0.40279
4		0.42000
4.05	0.42873
