Def		$Force$
4.05	0.39311
4		0.38400
3.9		0.36609
3.8		0.34861
3.7		0.33156
3.6		0.31493
3.5		0.29873
3.4		0.28295
3.3		0.26760
3.2		0.25267
3.1		0.23817
3		0.22410
2.9		0.21045
2.8		0.19723
2.7		0.18444
2.6		0.17207
2.5		0.16013
2.4		0.14861
2.3		0.13752
2.2		0.12685
2.1		0.11661
2		0.10680
1.9		0.09741
1.8		0.08845
1.7		0.07992
1.6		0.07181
1.5		0.06413
1.4		0.05687
1.3		0.05004
1.2		0.04363
1.1		0.03765
1		0.03210
0.9		0.02697
0.8		0.02227
0.7		0.01800
0.6		0.01415
0.5		0.01073
0.4		0.00773
0.3		0.00516
0.2		0.00301
0.1		0.00129
0		0.00000
