Def			$F_sim$		$F_exp$
0			0			0
0.06480		0.001483	0.004236229
0.28154		0.010882	0.01950956
0.48564		0.025962	0.035446904
0.69331		0.044376	0.053210787
0.90082		0.065468	0.072520372
1.1189		0.091606	0.094493444
1.318		0.117494	0.116057544
1.5169		0.145436	0.13903282
1.7141		0.175544	0.163225532
1.9126		0.20796		0.188999422
2.1129		0.24164		0.21645285
2.3136		0.27758		0.245417804
2.5147		0.31386		0.275903001
2.7172		0.35226		0.308079723
2.9215		0.3915		0.342046737
3.122		0.43248		0.376851
3.3275		0.47406		0.414033338
3.5333		0.51656		0.452802041
3.7365		0.5609		0.492585224
3.9425		0.60486		0.534442343
