Def 	$Force$
0	0.0119
0	0.0079
0	0.0259
0	0.0179
0	0.0079
0	0.0119
0	0.0039
0	0.0159
0	0.0059
0	-0.0041
0	0.0159
0	0.0199
0	0.0159
0.004	-0.0041
0.006	-0.0081
0.008	0.0019
0.008	0.0099
0.01	0.0019
0.01	-0.0001
0.014	0.0099
0.016	0.0159
0.018	0.0039
0.018	-0.0061
0.02	-0.0081
0.02	0.0059
0.024	0.0099
0.028	0.0099
0.028	-0.0001
0.03	-0.0001
0.03	-0.0001
0.034	-0.0101
0.038	-0.0221
0.038	-0.0061
0.04	-0.0001
0.044	0.0119
0.044	0.0039
0.048	-0.0101
0.048	-0.0061
0.052	0.0059
0.054	-0.0061
0.056	0.0099
0.058	0.0199
0.058	0.0199
0.062	0.0319
0.064	0.0259
0.066	0.0079
0.068	0.0059
0.068	0.0239
0.072	0.0239
0.074	0.0239
0.078	0.0339
0.078	0.0179
0.082	0.0219
0.084	0.0219
0.088	-0.0001
0.088	-0.0021
0.088	0.0219
0.092	0.0159
0.094	0.0019
0.098	0.0039
0.098	0.0039
0.102	0.0019
0.104	0.0079
0.108	-0.0001
0.108	-0.0001
0.112	0.0239
0.112	0.0259
0.116	-0.0021
0.118	0.0099
0.118	0.0079
0.122	0.0099
0.124	0.0139
0.128	0.0059
0.128	0.0079
0.132	0.0159
0.134	0.0099
0.138	-0.0061
0.138	-0.0061
0.142	0.0119
0.144	0.0119
0.148	0.0159
0.148	0.0139
0.152	0.0019
0.156	0.0099
0.158	0.0179
0.158	-0.0001
0.162	-0.0021
0.162	0.0079
0.166	0.0099
0.168	0.0159
0.168	0.0199
0.172	0.0039
0.176	0.0079
0.178	0.0199
0.178	0.0039
0.182	0.0139
0.186	0.0239
0.188	0.0239
0.188	0.0319
0.192	0.0319
0.196	0.0099
0.198	0.0099
0.198	0.0259
0.202	0.0139
0.206	0.0099
0.208	0.0239
0.208	0.0259
0.212	0.0259
0.216	0.0239
0.218	0.0019
0.218	0.0039
0.224	0.0159
0.226	0.0199
0.228	0.0179
0.228	0.0159
0.234	0.0139
0.236	0.0139
0.238	0.0099
0.242	0.0039
0.244	0.0079
0.246	0.0259
0.248	0.0279
0.252	0.0139
0.254	0.0179
0.256	0.0119
0.258	0.0079
0.258	0.0119
0.264	0.0159
0.266	0.0119
0.268	0.0219
0.268	0.0239
0.276	0.0039
0.276	0.0099
0.278	-0.0001
0.284	-0.0061
0.286	0.0119
0.286	0.0219
0.288	0.0119
0.294	0.0099
0.296	0.0119
0.296	0.0039
0.298	0.0019
0.304	0.0039
0.306	-0.0021
0.306	0.0239
0.308	0.0299
0.314	0.0119
0.316	0.0059
0.316	0.0159
0.318	0.0099
0.324	0.0099
0.326	0.0079
0.326	0.0079
0.328	0.0279
0.334	0.0319
0.336	0.0099
0.336	-0.0001
0.338	0.0179
0.344	0.0239
0.346	0.0139
0.346	0.0199
0.348	0.0259
0.354	0.0359
0.356	0.0359
0.356	0.0139
0.358	0.0059
0.364	0.0279
0.366	0.0379
0.366	0.0239
0.368	0.0219
0.376	0.0259
0.376	0.0199
0.376	0.0219
0.382	0.0159
0.386	0.0099
0.386	0.0299
0.388	0.0359
0.392	0.0199
0.396	0.0179
0.396	0.0159
0.398	0.0139
0.404	0.0179
0.406	0.0219
0.406	0.0179
0.408	0.0319
0.414	0.0359
0.416	0.0199
0.416	0.0239
0.418	0.0199
0.424	0.0179
0.426	0.0239
0.426	0.0299
0.432	0.0159
0.436	0.0179
0.436	0.0219
0.436	0.0079
0.442	0.0139
0.446	0.0099
0.446	0.0059
0.446	0.0199
0.452	0.0239
0.456	0.0199
0.456	0.0119
0.458	0.0219
0.464	0.0179
0.466	0.0199
0.466	0.0239
0.468	0.0179
0.474	0.0339
0.476	0.0379
0.478	0.0299
0.478	0.0219
0.484	0.0339
0.486	0.0359
0.488	0.0359
0.488	0.0319
0.494	0.0339
0.496	0.0339
0.498	0.0359
0.502	0.0159
0.506	0.0239
0.506	0.0399
0.508	0.0459
0.512	0.0379
0.516	0.0419
0.516	0.0359
0.518	0.0399
0.522	0.0439
0.526	0.0339
0.528	0.0419
0.528	0.0559
0.532	0.0619
0.536	0.0499
0.538	0.0519
0.538	0.0499
0.546	0.0419
0.546	0.0459
