Def	$Force$
0	0
0.1	0.006601
0.2	0.013564
0.3	0.020889
0.4	0.028576
0.5	0.036625
0.6	0.045036
0.7	0.053809
0.8	0.062944
0.9	0.072441
1	0.0823
1.1	0.092521
1.2	0.103104
1.3	0.114049
1.4	0.125356
1.5	0.137025
1.6	0.149056
1.7	0.161449
1.8	0.174204
1.9	0.187321
2	0.2008
2.1	0.214641
2.2	0.228844
2.3	0.243409
2.4	0.258336
2.5	0.273625
2.6	0.289276
2.7	0.305289
2.8	0.321664
2.9	0.338401
3	0.3555
3.1	0.372961
3.2	0.390784
3.3	0.408969
3.4	0.427516
3.5	0.446425
3.6	0.465696
3.7	0.485329
3.8	0.505324
3.9	0.525681
4	0.5464
