Def 	$F_x$			$F_y$		$F_z$		$TotalF$
0		0				0			0			0
0.1		0.001247395		-0.00078850	0.00407735	0.004336187
0.2		-0.00294010		-0.00434808	0.010648377	0.011871727
0.3		0.000777514		-0.00143205	0.00021576	0.001643727
0.4		0.002266621		0.001823947	0.007223636	0.007787507
0.5		0.001252955		-0.00038336	0.01072351	0.010803265
0.6		0.001067407		0.005928376	0.024664707	0.025389619
0.7		-0.00119710		0.00722409	0.025723593	0.026745538
0.8		0.003084234		0.005633603	0.032495388	0.033124013
0.9		0.002308178		0.011535262	0.036361685	0.038217301
1		0.00656988		0.013141192	0.052786382	0.054792849
1.1		0.004650788		0.014296172	0.057832599	0.059754664
1.2		0.002043291		0.018153304	0.063818916	0.066382013
1.3		0.0048113		0.017647593	0.073475891	0.075718509
1.4		0.001824034		0.022419057	0.095258888	0.09787848
1.5		0.000157989		0.021168367	0.097845585	0.100109356
1.6		0.003087841		0.029433161	0.097525947	0.101917398
1.7		0.000257546		0.029174108	0.109053156	0.112888377
1.8		0.009313089		0.03327003	0.120598071	0.125449285
1.9		0.002989381		0.030241718	0.135900972	0.139257215
2		-0.00105054		0.035024932	0.139390021	0.14372692
2.1		0.003336063		0.032307194	0.15123951	0.154687665
2.2		0.001531583		0.042954069	0.161206622	0.166838163
2.3		0.000679406		0.04087441	0.18227871	0.186806603
2.4		0.004353069		0.044467161	0.197360506	0.202354755
2.5		0.000265953		0.049879159	0.209090548	0.214957806
2.6		-0.00269349		0.04674157	0.215953004	0.220969973
2.7		-0.00416112		0.059552191	0.228526235	0.236194874
2.8		-0.00245454		0.056480254	0.248660831	0.255006378
2.9		0.004546614		0.068601015	0.259904618	0.268844158
3		-0.00384201		0.060335709	0.270386831	0.277063526
3.1		-0.005281541	0.065594157	0.283691799	0.291224184
3.2		-0.003279622	0.073694889	0.298213964	0.307202313
3.3		-0.004082248	0.079992088	0.319269546	0.329163245
3.4		-0.000279602	0.07889694	0.331134324	0.340403798
3.5		0.001463704		0.088177502	0.339519739	0.350786356
3.6		-0.004955997	0.079951052	0.372543952	0.381058695
3.7		-0.000642025	0.088410555	0.386491053	0.39647468
3.8		-0.003468214	0.087105789	0.390265872	0.399883606
3.9		-0.002653631	0.090339242	0.404406885	0.414382853
4		-0.002887054	0.095275072	0.433347246	0.443706558
