Def	$F_x$		$F_y$			$F_z$		$TotalF$
0	0			0				0			0
0.1	0.001863508	-0.003021349	0.002263284	0.004209948
0.2	0.00368727	-0.00007428		0.002940188	0.004716586
0.3	0.000621447	-0.008626988	0.007516603	0.011459077
0.4	0.004341433	-0.005279707	0.02026488	0.021386648
0.5	0.010453832	0.002080451		0.023682397	0.025970499
0.6	0.005328286	0.003462536		0.027371766	0.028099704
0.7	0.003492043	-0.002125246	0.036710173	0.03693708
0.8	0.004978484	-0.000421091	0.054308701	0.054538038
0.9	0.00370679	-0.001025342	0.054903218	0.05503776
1	0.012698298	-0.000854849	0.072468357	0.073577445
1.1	0.00470202	0.002820508		0.074063932	0.074266616
1.2	0.010430883	-0.000179627	0.090561511	0.091160423
1.3	0.015304037	0.002731027		0.103811548	0.104969088
1.4	0.013436342	-0.000183306	0.10579146	0.106641465
1.5	0.011869054	0.001823296		0.130395825	0.130947585
1.6	0.014051635	-0.001034983	0.137627939	0.138347278
1.7	0.016106783	0.002623445		0.150994139	0.151873437
1.8	0.020273187	0.001064266		0.160668619	0.161946102
1.9	0.014640398	-0.00232856		0.172647143	0.173282427
2	0.020125643	0.003622289		0.18280249	0.183942689
2.1	0.020375693	0.001132182		0.198290706	0.199338041
2.2	0.02367132	0.004188364		0.220474953	0.221781601
2.3	0.022166	0.00044599		0.232338017	0.233393412
2.4	0.021652046	0.004384053		0.238788537	0.23980825
2.5	0.031446988	-0.006690618	0.260938565	0.262911795
2.6	0.024359649	0.010371629		0.274908415	0.276180376
2.7	0.032224184	-0.002194477	0.288481817	0.290284296
2.8	0.028502163	0.010572123		0.289984836	0.291573915
2.9	0.029469474	0.003185005		0.325351615	0.326699047
3	0.03374718	0.006586438		0.333158404	0.334928016
3.1	0.030223021	0.002434323		0.349612074	0.350924435
3.2	0.030286191	0.003671739		0.366239729	0.367508196
3.3	0.036426625	-0.000554287	0.376449365	0.378208052
3.4	0.039062517	0.008524721		0.40132016	0.403306858
3.5	0.038117508	0.002491702		0.417188713	0.418933855
3.6	0.041829331	0.005659721		0.426710838	0.428793499
3.7	0.039947785	0.007506412		0.44997058	0.451802716
3.8	0.045305318	0.004923826		0.458950953	0.461207972
3.9	0.041593218	0.00916405		0.482510914	0.484386992
4	0.045872203	0.005811046		0.500174653	0.502307386
