Def	$F_x$		$F_y$		$F_z$		$TotalF$
0	0			0			0			0
0.1	0.000809	-0.000044	0.005953	0.006022
0.2	0.001636	-0.000076	0.012252	0.012388
0.3	0.002481	-0.000096	0.018897	0.019098
0.4	0.003344	-0.000104	0.025888	0.026152
0.5	0.004225	-0.0001		0.033225	0.03355
0.6	0.005124	-0.000084	0.040908	0.041292
0.7	0.006041	-5.6E-05	0.048937	0.049378
0.8	0.006976	-0.000016	0.057312	0.057808
0.9	0.007929	0.000036	0.066033	0.066582
1	0.0089		0.0001		0.0751		0.0757
1.1	0.009889	0.000176	0.084513	0.085162
1.2	0.010896	0.000264	0.094272	0.094968
1.3	0.011921	0.000364	0.104377	0.105118
1.4	0.012964	0.000476	0.114828	0.115612
1.5	0.014025	0.0006		0.125625	0.12645
1.6	0.015104	0.000736	0.136768	0.137632
1.7	0.016201	0.000884	0.148257	0.149158
1.8	0.017316	0.001044	0.160092	0.161028
1.9	0.018449	0.001216	0.172273	0.173242
2	0.0196		0.0014		0.1848		0.1858
2.1	0.020769	0.001596	0.197673	0.198702
2.2	0.021956	0.001804	0.210892	0.211948
2.3	0.023161	0.002024	0.224457	0.225538
2.4	0.024384	0.002256	0.238368	0.239472
2.5	0.025625	0.0025		0.252625	0.25375
2.6	0.026884	0.002756	0.267228	0.268372
2.7	0.028161	0.003024	0.282177	0.283338
2.8	0.029456	0.003304	0.297472	0.298648
2.9	0.030769	0.003596	0.313113	0.314302
3	0.0321		0.0039		0.3291		0.3303
3.1	0.033449	0.004216	0.345433	0.346642
3.2	0.034816	0.004544	0.362112	0.363328
3.3	0.036201	0.004884	0.379137	0.380358
3.4	0.037604	0.005236	0.396508	0.397732
3.5	0.039025	0.0056		0.414225	0.41545
3.6	0.040464	0.005976	0.432288	0.433512
3.7	0.041921	0.006364	0.450697	0.451918
3.8	0.043396	0.006764	0.469452	0.470668
3.9	0.044889	0.007176	0.488553	0.489762
4	0.0464		0.0076		0.508		0.5092
