Def	$F_x$	$F_y$		$F_z$ 		$TotalF$
0	0		0			0			0
0.1	0.00033	0.001422	0.003198	0.003519
0.2	0.00068	0.002908	0.006752	0.007396
0.3	0.00105	0.004458	0.010662	0.011631
0.4	0.00144	0.006072	0.014928	0.016224
0.5	0.00185	0.00775		0.01955		0.021175
0.6	0.00228	0.009492	0.024528	0.026484
0.7	0.00273	0.011298	0.029862	0.032151
0.8	0.0032	0.013168	0.035552	0.038176
0.9	0.00369	0.015102	0.041598	0.044559
1	0.0042	0.0171		0.048		0.0513
1.1	0.00473	0.019162	0.054758	0.058399
1.2	0.00528	0.021288	0.061872	0.065856
1.3	0.00585	0.023478	0.069342	0.073671
1.4	0.00644	0.025732	0.077168	0.081844
1.5	0.00705	0.02805		0.08535		0.090375
1.6	0.00768	0.030432	0.093888	0.099264
1.7	0.00833	0.032878	0.102782	0.108511
1.8	0.009	0.035388	0.112032	0.118116
1.9	0.00969	0.037962	0.121638	0.128079
2	0.0104	0.0406		0.1316		0.1384
2.1	0.01113	0.043302	0.141918	0.149079
2.2	0.01188	0.046068	0.152592	0.160116
2.3	0.01265	0.048898	0.163622	0.171511
2.4	0.01344	0.051792	0.175008	0.183264
2.5	0.01425	0.05475		0.18675		0.195375
2.6	0.01508	0.057772	0.198848	0.207844
2.7	0.01593	0.060858	0.211302	0.220671
2.8	0.0168	0.064008	0.224112	0.233856
2.9	0.01769	0.067222	0.237278	0.247399
3	0.0186	0.0705		0.2508		0.2613
3.1	0.01953	0.073842	0.264678	0.275559
3.2	0.02048	0.077248	0.278912	0.290176
3.3	0.02145	0.080718	0.293502	0.305151
3.4	0.02244	0.084252	0.308448	0.320484
3.5	0.02345	0.08785		0.32375		0.336175
3.6	0.02448	0.091512	0.339408	0.352224
3.7	0.02553	0.095238	0.355422	0.368631
3.8	0.0266	0.099028	0.371792	0.385396
3.9	0.02769	0.102882	0.388518	0.402519
4	0.0288	0.1068		0.4056		0.42
