Def	$Force$
0	0
0.2	0.017884
0.4	0.036496
0.6	0.055836
0.8	0.075904
1	0.0967
1.2	0.118224
1.4	0.140476
1.6	0.163456
1.8	0.187164
2	0.2116
2.2	0.236764
2.4	0.262656
2.6	0.289276
2.8	0.316624
3	0.3447
3.2	0.373504
3.4	0.403036
3.6	0.433296
3.8	0.464284
4	0.496
4.2	0.528444
4.4	0.561616
4.6	0.595516
4.8	0.630144
5	0.6655
5.2	0.701584
5.4	0.738396
5.6	0.775936
5.8	0.814204
6	0.8532
6.2	0.892924
6.4	0.933376
6.6	0.974556
6.8	1.016464
7	1.0591
7.2	1.102464
7.4	1.146556
7.6	1.191376
7.8	1.236924
8	1.2832

