Def	$Fx$		$Fy$		$Fz$		$Total$	
0	0			0			0			0
0.1	0.000145	0.000409	0.006308	0.006322908
0.2	0.0003		0.000816	0.012972	0.013001101
0.3	0.000465	0.001221	0.019992	0.020034648
0.4	0.00064		0.001624	0.027368	0.02742361
0.5	0.000825	0.002025	0.0351		0.035168043
0.6	0.00102		0.002424	0.043188	0.043267996
0.7	0.001225	0.002821	0.051632	0.051723516
0.8	0.00144		0.003216	0.060432	0.060534642
0.9	0.001665	0.003609	0.069588	0.069701412
1	0.0019		0.004		0.0791		0.07922386
1.1	0.002145	0.004389	0.088968	0.089102017
1.2	0.0024		0.004776	0.099192	0.09933591
1.3	0.002665	0.005161	0.109772	0.109925566
1.4	0.00294		0.005544	0.120708	0.120871009
1.5	0.003225	0.005925	0.132		0.13217226
1.6	0.00352		0.006304	0.143648	0.143829339
1.7	0.003825	0.006681	0.155652	0.155842265
1.8	0.00414		0.007056	0.168012	0.168211055
1.9	0.004465	0.007429	0.180728	0.180935724
2	0.0048		0.0078		0.1938		0.194016288
2.1	0.005145	0.008169	0.207228	0.20745276
2.2	0.0055		0.008536	0.221012	0.221245152
2.3	0.005865	0.008901	0.235152	0.235393477
2.4	0.00624		0.009264	0.249648	0.249897745
2.5	0.006625	0.009625	0.2645		0.264757967
2.6	0.00702		0.009984	0.279708	0.279974152
2.7	0.007425	0.010341	0.295272	0.295546309
2.8	0.00784		0.010696	0.311192	0.311474447
2.9	0.008265	0.011049	0.327468	0.327758572
3	0.0087		0.0114		0.3441		0.344398693
3.1	0.009145	0.011749	0.361088	0.361394817
3.2	0.0096		0.012096	0.378432	0.37874695
3.3	0.010065	0.012441	0.396132	0.396455097
3.4	0.01054		0.012784	0.414188	0.414519266
3.5	0.011025	0.013125	0.4326		0.43293946
3.6	0.01152		0.013464	0.451368	0.451715686
3.7	0.012025	0.013801	0.470492	0.470847948
3.8	0.01254		0.014136	0.489972	0.490336251
3.9	0.013065	0.014469	0.509808	0.510180598
4	0.0136		0.0148		0.53		0.530380995
