Def		$Fy$		$Fx$		$Fz$		$Total$	
0		0			0			0			0
0.06480 0.000080208	1.00254E-05	0.00148102	0.00148322
0.28154	0.00114536	1.41414E-05	0.0108216	0.010882
0.48564	0.0036778	1.99174E-06	0.0257		0.025962
0.69331	0.0075288	0.00009051	0.043734	0.044376
0.90082	0.0127948	0.000133318	0.064206	0.065468
1.1189	0.0199644	0.000042316	0.089404	0.091606
1.318	0.027954	0.000106146	0.11412		0.117494
1.5169	0.03754		0.00015525	0.140506	0.145436
1.7141	0.048884	1.16756E-05	0.1686		0.175544
1.9126	0.061984	1.79292E-05	0.198502	0.20796
2.1129	0.076654	0.000182096	0.22916		0.24164
2.3136	0.093186	0.00028218	0.26146		0.27758
2.5147	0.110674	0.000154796	0.2937		0.31386
2.7172	0.129998	0.000021308	0.3274		0.35226
2.9215	0.15081		0.000112108	0.3613		0.3915
3.122	0.173402	0.000080778	0.39618		0.43248
3.3275	0.197844	0.000112832	0.4308		0.47406
3.5333	0.22396		0.00020826	0.46548		0.51656
3.7365	0.25248		0.00020146	0.50086		0.5609
3.9425	0.28196		0.0002928	0.53512		0.60486



