Def		$Fy$		$Fx$		$Fz$		$Total$	
0		0			0			0			0
0.0013	-3.7007E-11	-4.7293E-12	-9.9679E-11	1.0643E-10
0.12932	0.00034712	0.00012126	0.0052726	0.0052854
0.33819	0.001167	0.00046372	0.017592	0.017636
0.55296	0.0022427	0.00087132	0.0337		0.033786
0.77	0.0034217	0.0013545	0.053447	0.053574
0.98027	0.0049931	0.0019355	0.075614	0.075803
1.1874	0.0067709	0.0026642	0.10043		0.10069
1.3966	0.0084907	0.0033292	0.12684		0.12716
1.6357	0.010875	0.0041317	0.1606		0.16102
1.8459	0.012985	0.004881	0.19044		0.19095
2.0551	0.015321	0.0057341	0.22229		0.22289
2.2636	0.017525	0.0065639	0.25485		0.25554
2.4664	0.01996		0.0074208	0.28869		0.28948
2.6753	0.022649	0.0084025	0.32327		0.32417
2.8833	0.024991	0.0092508	0.35757		0.35856
3.0916	0.027685	0.01018		0.39245		0.39356
3.3004	0.030317	0.011026	0.42792		0.42913
3.5083	0.033021	0.011997	0.4642		0.46552
3.7164	0.035828	0.013011	0.5009		0.50235
3.9306	0.038546	0.01375		0.53732		0.53888
