Def	$Fx$		$Fy$		$Fz$		$Total$	
0	0			0			0			0
0.1	0.0001605	0.0000805	0.006591	0.006593445
0.2	0.000322	0.000162	0.013544	0.013548796
0.3	0.0004845	0.0002445	0.020859	0.020866059
0.4	0.000648	0.000328	0.028536	0.028545241
0.5	0.0008125	0.0004125	0.036575	0.036586349
0.6	0.000978	0.000498	0.044976	0.044989388
0.7	0.0011445	0.0005845	0.053739	0.053754364
0.8	0.001312	0.000672	0.062864	0.06288128
0.9	0.0014805	0.0007605	0.072351	0.072370142
1	0.00165		0.00085		0.0822		0.082220952
1.1	0.0018205	0.0009405	0.092411	0.092433715
1.2	0.001992	0.001032	0.102984	0.103008433
1.3	0.0021645	0.0011245	0.113919	0.11394511
1.4	0.002338	0.001218	0.125216	0.125243748
1.5	0.0025125	0.0013125	0.136875	0.13690435
1.6	0.002688	0.001408	0.148896	0.148926917
1.7	0.0028645	0.0015045	0.161279	0.161311453
1.8	0.003042	0.001602	0.174024	0.174057958
1.9	0.0032205	0.0017005	0.187131	0.187166435
2	0.0034		0.0018		0.2006		0.200636886
2.1	0.0035805	0.0019005	0.214431	0.214469312
2.2	0.003762	0.002002	0.228624	0.228663714
2.3	0.0039445	0.0021045	0.243179	0.243220094
2.4	0.004128	0.002208	0.258096	0.258138453
2.5	0.0043125	0.0023125	0.273375	0.273418792
2.6	0.004498	0.002418	0.289016	0.289061113
2.7	0.0046845	0.0025245	0.305019	0.305065416
2.8	0.004872	0.002632	0.321384	0.321431702
2.9	0.0050605	0.0027405	0.338111	0.338159973
3	0.00525		0.00285		0.3552		0.355250229
3.1	0.0054405	0.0029605	0.372651	0.37270247
3.2	0.005632	0.003072	0.390464	0.390516699
3.3	0.0058245	0.0031845	0.408639	0.408692914
3.4	0.006018	0.003298	0.427176	0.427231118
3.5	0.0062125	0.0034125	0.446075	0.44613131
3.6	0.006408	0.003528	0.465336	0.465393492
3.7	0.0066045	0.0036445	0.484959	0.485017663
3.8	0.006802	0.003762	0.504944	0.505003825
3.9	0.0070005	0.0038805	0.525291	0.525351977
4	0.0072		0.004		0.546		0.546062121
