Xdis		$Def$
0.013156	-0.98934
0.947002	-0.97508
1.829636	-0.93501
2.048582	-0.92123
2.676817	-0.88407
3.042542	-0.86032
3.421738	-0.83405
3.961002	-0.79754
4.36424		-0.77154
4.834325	-0.74099
5.442528	-0.70436
5.916811	-0.67777
6.427244	-0.65057
7.029494	-0.62078
7.49535		-0.59992
8.196485	-0.57067
8.86675		-0.54547
9.555605	-0.52202
10.256665	-0.50049
10.937359	-0.48178
11.51567	-0.46686
12.489999	-0.44401
13.331683	-0.42691
13.634923	-0.42136
14.179059	-0.41135
14.352221	-0.40833
15.592693	-0.38866
16.537133	-0.37556
18.565967	-0.35124
19.775588	-0.33933

